,Description
fast heart rate,symptom asdasdasda d asd as dasd asd asd asd a sd
flank pain,symptom asdasdasda d asd as dasd asd asd asd a sd
fluid in the abdomen,symptom asdasdasda d asd as dasd asd asd asd a sd
incontinence,symptom asdasdasda d asd as dasd asd asd asd a sd
low blood pressure,symptom asdasdasda d asd as dasd asd asd asd a sd
low oxygen in the body,symptom asdasdasda d asd as dasd asd asd asd a sd
lower abdominal pain,symptom asdasdasda d asd as dasd asd asd asd a sd
malnutrition,symptom asdasdasda d asd as dasd asd asd asd a sd
mental confusion,symptom asdasdasda d asd as dasd asd asd asd a sd
nasal congestion,symptom asdasdasda d asd as dasd asd asd asd a sd
pain during urination,symptom asdasdasda d asd as dasd asd asd asd a sd
pain in upper abdomen,symptom asdasdasda d asd as dasd asd asd asd a sd
phlegm,symptom asdasdasda d asd as dasd asd asd asd a sd
racing heartbeat,symptom asdasdasda d asd as dasd asd asd asd a sd
runny nose,symptom asdasdasda d asd as dasd asd asd asd a sd
sadness,symptom asdasdasda d asd as dasd asd asd asd a sd
sharp pain,symptom asdasdasda d asd as dasd asd asd asd a sd
tenderness,symptom asdasdasda d asd as dasd asd asd asd a sd
vomiting blood,symptom asdasdasda d asd as dasd asd asd asd a sd
watery diarrhea,symptom asdasdasda d asd as dasd asd asd asd a sd
yellow skin and eyes,symptom asdasdasda d asd as dasd asd asd asd a sd
decreased smell,symptom asdasdasda d asd as dasd asd asd asd a sd
grinding teeth,symptom asdasdasda d asd as dasd asd asd asd a sd
mouth sores,symptom asdasdasda d asd as dasd asd asd asd a sd
ankle pain.1,symptom asdasdasda d asd as dasd asd asd asd a sd
pulsating sensation,symptom asdasdasda d asd as dasd asd asd asd a sd
inattention,symptom asdasdasda d asd as dasd asd asd asd a sd
irregular heartbeat,symptom asdasdasda d asd as dasd asd asd asd a sd
cold feet,symptom asdasdasda d asd as dasd asd asd asd a sd
self-neglect,symptom asdasdasda d asd as dasd asd asd asd a sd
rash,symptom asdasdasda d asd as dasd asd asd asd a sd
lymph node swelling (swollen lymph nodes),symptom asdasdasda d asd as dasd asd asd asd a sd
intentional vomiting (purging),symptom asdasdasda d asd as dasd asd asd asd a sd
painful ejaculation,symptom asdasdasda d asd as dasd asd asd asd a sd
chronic pain,symptom asdasdasda d asd as dasd asd asd asd a sd
tingling,symptom asdasdasda d asd as dasd asd asd asd a sd
dark colored urine,symptom asdasdasda d asd as dasd asd asd asd a sd
muscle pain (myalgia),symptom asdasdasda d asd as dasd asd asd asd a sd
nail clubbing,symptom asdasdasda d asd as dasd asd asd asd a sd
aggression.1,symptom asdasdasda d asd as dasd asd asd asd a sd
apathy,symptom asdasdasda d asd as dasd asd asd asd a sd
hallucinations,symptom asdasdasda d asd as dasd asd asd asd a sd
low urine output,symptom asdasdasda d asd as dasd asd asd asd a sd
chest pain,symptom asdasdasda d asd as dasd asd asd asd a sd
diogenes syndrome (self-neglect),symptom asdasdasda d asd as dasd asd asd asd a sd
rectal incontinence (fecal incontinence),symptom asdasdasda d asd as dasd asd asd asd a sd
blood in urine.1,symptom asdasdasda d asd as dasd asd asd asd a sd
blunted affect (flat affect),symptom asdasdasda d asd as dasd asd asd asd a sd
swollen lips,symptom asdasdasda d asd as dasd asd asd asd a sd
toe pain.1,symptom asdasdasda d asd as dasd asd asd asd a sd
red spots.1,symptom asdasdasda d asd as dasd asd asd asd a sd
unusual,symptom asdasdasda d asd as dasd asd asd asd a sd
thick saliva,symptom asdasdasda d asd as dasd asd asd asd a sd
dry eyes,symptom asdasdasda d asd as dasd asd asd asd a sd
dark colored (brown) urine,symptom asdasdasda d asd as dasd asd asd asd a sd
palpitations,symptom asdasdasda d asd as dasd asd asd asd a sd
red spots on the skin,symptom asdasdasda d asd as dasd asd asd asd a sd
inability to regulate emotions,symptom asdasdasda d asd as dasd asd asd asd a sd
knee swelling (swollen knee),symptom asdasdasda d asd as dasd asd asd asd a sd
neck pain.1,symptom asdasdasda d asd as dasd asd asd asd a sd
fluctuating mood (mood swings),symptom asdasdasda d asd as dasd asd asd asd a sd
shoulder pain.1,symptom asdasdasda d asd as dasd asd asd asd a sd
black colored stools,symptom asdasdasda d asd as dasd asd asd asd a sd
metallic taste,symptom asdasdasda d asd as dasd asd asd asd a sd
labile mood (inability to regulate emotions),symptom asdasdasda d asd as dasd asd asd asd a sd
depressed mood,symptom asdasdasda d asd as dasd asd asd asd a sd
tightness in chest,symptom asdasdasda d asd as dasd asd asd asd a sd
upset stomach,symptom asdasdasda d asd as dasd asd asd asd a sd
bloating,symptom asdasdasda d asd as dasd asd asd asd a sd
attention deficit (inattention),symptom asdasdasda d asd as dasd asd asd asd a sd
tenderness to touch,symptom asdasdasda d asd as dasd asd asd asd a sd
jaw locking,symptom asdasdasda d asd as dasd asd asd asd a sd
groin pain.1,symptom asdasdasda d asd as dasd asd asd asd a sd
body aches,symptom asdasdasda d asd as dasd asd asd asd a sd
fits of rage,symptom asdasdasda d asd as dasd asd asd asd a sd
coarse hair,symptom asdasdasda d asd as dasd asd asd asd a sd
irregular menstrual periods,symptom asdasdasda d asd as dasd asd asd asd a sd
night sweats.1,symptom asdasdasda d asd as dasd asd asd asd a sd
lack of emotion,symptom asdasdasda d asd as dasd asd asd asd a sd
spasms (painful),symptom asdasdasda d asd as dasd asd asd asd a sd
vision loss.1,symptom asdasdasda d asd as dasd asd asd asd a sd
gas,symptom asdasdasda d asd as dasd asd asd asd a sd
tires quickly,symptom asdasdasda d asd as dasd asd asd asd a sd
altered mental status,symptom asdasdasda d asd as dasd asd asd asd a sd
vaginal bleeding.1,symptom asdasdasda d asd as dasd asd asd asd a sd
joint warmth,symptom asdasdasda d asd as dasd asd asd asd a sd
proteinuria (protein in the urine),symptom asdasdasda d asd as dasd asd asd asd a sd
nosebleed,symptom asdasdasda d asd as dasd asd asd asd a sd
stool color & texture changes,symptom asdasdasda d asd as dasd asd asd asd a sd
vaginal itching,symptom asdasdasda d asd as dasd asd asd asd a sd
rectal bleeding,symptom asdasdasda d asd as dasd asd asd asd a sd
excessive facial hair growth (female),symptom asdasdasda d asd as dasd asd asd asd a sd
itch,symptom asdasdasda d asd as dasd asd asd asd a sd
cracks at corner of mouth,symptom asdasdasda d asd as dasd asd asd asd a sd
difficulty concentrating.2,symptom asdasdasda d asd as dasd asd asd asd a sd
adhd (inattention),symptom asdasdasda d asd as dasd asd asd asd a sd
difficulty urinating,symptom asdasdasda d asd as dasd asd asd asd a sd
frequent infections,symptom asdasdasda d asd as dasd asd asd asd a sd
joint stiffness,symptom asdasdasda d asd as dasd asd asd asd a sd
ringing in ears,symptom asdasdasda d asd as dasd asd asd asd a sd
excessive exercising,symptom asdasdasda d asd as dasd asd asd asd a sd
hunger.1,symptom asdasdasda d asd as dasd asd asd asd a sd
low libido,symptom asdasdasda d asd as dasd asd asd asd a sd
change in stools,symptom asdasdasda d asd as dasd asd asd asd a sd
abdominal lump,symptom asdasdasda d asd as dasd asd asd asd a sd
blue colored skin,symptom asdasdasda d asd as dasd asd asd asd a sd
cloudy urine with strong odor,symptom asdasdasda d asd as dasd asd asd asd a sd
increased appetite,symptom asdasdasda d asd as dasd asd asd asd a sd
frequent urinate,symptom asdasdasda d asd as dasd asd asd asd a sd
bowel incontinence (fecal incontinence),symptom asdasdasda d asd as dasd asd asd asd a sd
bruising.1,symptom asdasdasda d asd as dasd asd asd asd a sd
drooling.1,symptom asdasdasda d asd as dasd asd asd asd a sd
bloody sputum,symptom asdasdasda d asd as dasd asd asd asd a sd
mood swings.1,symptom asdasdasda d asd as dasd asd asd asd a sd
strange behavior (unusual behavior),symptom asdasdasda d asd as dasd asd asd asd a sd
dysphagia,symptom asdasdasda d asd as dasd asd asd asd a sd
change in bowel habits,symptom asdasdasda d asd as dasd asd asd asd a sd
swollen knee.1,symptom asdasdasda d asd as dasd asd asd asd a sd
hearing loss,symptom asdasdasda d asd as dasd asd asd asd a sd
sensitive to cold,symptom asdasdasda d asd as dasd asd asd asd a sd
skin bumps,symptom asdasdasda d asd as dasd asd asd asd a sd
fullness,symptom asdasdasda d asd as dasd asd asd asd a sd
vaginal odor.1,symptom asdasdasda d asd as dasd asd asd asd a sd
painful bowel movements,symptom asdasdasda d asd as dasd asd asd asd a sd
mucus,symptom asdasdasda d asd as dasd asd asd asd a sd
pains,symptom asdasdasda d asd as dasd asd asd asd a sd
eyelid redness,symptom asdasdasda d asd as dasd asd asd asd a sd
burning urination,symptom asdasdasda d asd as dasd asd asd asd a sd
finger pain.1,symptom asdasdasda d asd as dasd asd asd asd a sd
flat affect,symptom asdasdasda d asd as dasd asd asd asd a sd
blood on toilet tissue,symptom asdasdasda d asd as dasd asd asd asd a sd
double vision.1,symptom asdasdasda d asd as dasd asd asd asd a sd
behavior disorder (unusual behavior),symptom asdasdasda d asd as dasd asd asd asd a sd
hair loss,symptom asdasdasda d asd as dasd asd asd asd a sd
binge eating,symptom asdasdasda d asd as dasd asd asd asd a sd
missed period,symptom asdasdasda d asd as dasd asd asd asd a sd
difficulty talking,symptom asdasdasda d asd as dasd asd asd asd a sd
lump.1,symptom asdasdasda d asd as dasd asd asd asd a sd
impulsivity.1,symptom asdasdasda d asd as dasd asd asd asd a sd
food cravings,symptom asdasdasda d asd as dasd asd asd asd a sd
unusual behavior.1,symptom asdasdasda d asd as dasd asd asd asd a sd
neglecting oneself (self-neglect),symptom asdasdasda d asd as dasd asd asd asd a sd
bumps on skin,symptom asdasdasda d asd as dasd asd asd asd a sd
bulge,symptom asdasdasda d asd as dasd asd asd asd a sd
eye floaters,symptom asdasdasda d asd as dasd asd asd asd a sd
tiredness,symptom asdasdasda d asd as dasd asd asd asd a sd
feeling faint,symptom asdasdasda d asd as dasd asd asd asd a sd
pus,symptom asdasdasda d asd as dasd asd asd asd a sd
gum sores,symptom asdasdasda d asd as dasd asd asd asd a sd
cloudy urine.2,symptom asdasdasda d asd as dasd asd asd asd a sd
vaginal bleeding after menopause,symptom asdasdasda d asd as dasd asd asd asd a sd
distended stomach (abdominal distention),symptom asdasdasda d asd as dasd asd asd asd a sd
yellow eyes,symptom asdasdasda d asd as dasd asd asd asd a sd
swollen lymph nodes.1,symptom asdasdasda d asd as dasd asd asd asd a sd
suspicious mole,symptom asdasdasda d asd as dasd asd asd asd a sd
skin irritation.1,symptom asdasdasda d asd as dasd asd asd asd a sd
blurred vision.2,symptom asdasdasda d asd as dasd asd asd asd a sd
distorted body image,symptom asdasdasda d asd as dasd asd asd asd a sd
social isolation,symptom asdasdasda d asd as dasd asd asd asd a sd
stomach cramps.1,symptom asdasdasda d asd as dasd asd asd asd a sd
insomnia.1,symptom asdasdasda d asd as dasd asd asd asd a sd
emotional disorder (inability to regulate emotions),symptom asdasdasda d asd as dasd asd asd asd a sd
color change,symptom asdasdasda d asd as dasd asd asd asd a sd
missed menstrual period,symptom asdasdasda d asd as dasd asd asd asd a sd
warm to touch,symptom asdasdasda d asd as dasd asd asd asd a sd
forgetfulness.1,symptom asdasdasda d asd as dasd asd asd asd a sd
inability to exercise (exercise intolerance),symptom asdasdasda d asd as dasd asd asd asd a sd
poor hygiene,symptom asdasdasda d asd as dasd asd asd asd a sd
increased passing gas,symptom asdasdasda d asd as dasd asd asd asd a sd
enlarged glands,symptom asdasdasda d asd as dasd asd asd asd a sd
changes in skin of the breast,symptom asdasdasda d asd as dasd asd asd asd a sd
bulging veins,symptom asdasdasda d asd as dasd asd asd asd a sd
delusions,symptom asdasdasda d asd as dasd asd asd asd a sd
joint deformity,symptom asdasdasda d asd as dasd asd asd asd a sd
testicular pain.1,symptom asdasdasda d asd as dasd asd asd asd a sd
emotional detachment,symptom asdasdasda d asd as dasd asd asd asd a sd
weight gain.2,symptom asdasdasda d asd as dasd asd asd asd a sd
low testosterone (low t),symptom asdasdasda d asd as dasd asd asd asd a sd
drainage,symptom asdasdasda d asd as dasd asd asd asd a sd
yellow skin,symptom asdasdasda d asd as dasd asd asd asd a sd
hand pain.1,symptom asdasdasda d asd as dasd asd asd asd a sd
distended stomach,symptom asdasdasda d asd as dasd asd asd asd a sd
dark urine.1,symptom asdasdasda d asd as dasd asd asd asd a sd
aches,symptom asdasdasda d asd as dasd asd asd asd a sd
fecal incontinence.1,symptom asdasdasda d asd as dasd asd asd asd a sd
burning,symptom asdasdasda d asd as dasd asd asd asd a sd
high blood pressure,symptom asdasdasda d asd as dasd asd asd asd a sd
red streaks on the skin,symptom asdasdasda d asd as dasd asd asd asd a sd
swollen joints,symptom asdasdasda d asd as dasd asd asd asd a sd
discharge from penis.1,symptom asdasdasda d asd as dasd asd asd asd a sd
drinking excessive fluids,symptom asdasdasda d asd as dasd asd asd asd a sd
brittle hair,symptom asdasdasda d asd as dasd asd asd asd a sd
jaundice,symptom asdasdasda d asd as dasd asd asd asd a sd
discoloration,symptom asdasdasda d asd as dasd asd asd asd a sd
increased thirst.1,symptom asdasdasda d asd as dasd asd asd asd a sd
vomiting,symptom asdasdasda d asd as dasd asd asd asd a sd
agitation,symptom asdasdasda d asd as dasd asd asd asd a sd
constipation,symptom asdasdasda d asd as dasd asd asd asd a sd
swelling,symptom asdasdasda d asd as dasd asd asd asd a sd
numbness,symptom asdasdasda d asd as dasd asd asd asd a sd
nausea,symptom asdasdasda d asd as dasd asd asd asd a sd
headache,symptom asdasdasda d asd as dasd asd asd asd a sd
pain,symptom asdasdasda d asd as dasd asd asd asd a sd
hoarseness,symptom asdasdasda d asd as dasd asd asd asd a sd
wheezing,symptom asdasdasda d asd as dasd asd asd asd a sd
cough,symptom asdasdasda d asd as dasd asd asd asd a sd
fatigue,symptom asdasdasda d asd as dasd asd asd asd a sd
fever,symptom asdasdasda d asd as dasd asd asd asd a sd
diarrhea,symptom asdasdasda d asd as dasd asd asd asd a sd
lightheadedness,symptom asdasdasda d asd as dasd asd asd asd a sd
dizziness,symptom asdasdasda d asd as dasd asd asd asd a sd
shortness of breath,symptom asdasdasda d asd as dasd asd asd asd a sd
abdominal pain,symptom asdasdasda d asd as dasd asd asd asd a sd
anxiety,symptom asdasdasda d asd as dasd asd asd asd a sd
arm pain,symptom asdasdasda d asd as dasd asd asd asd a sd
back pain,symptom asdasdasda d asd as dasd asd asd asd a sd
bleeding,symptom asdasdasda d asd as dasd asd asd asd a sd
chills,symptom asdasdasda d asd as dasd asd asd asd a sd
confusion,symptom asdasdasda d asd as dasd asd asd asd a sd
depression,symptom asdasdasda d asd as dasd asd asd asd a sd
difficulty swallowing,symptom asdasdasda d asd as dasd asd asd asd a sd
dry skin,symptom asdasdasda d asd as dasd asd asd asd a sd
foot pain,symptom asdasdasda d asd as dasd asd asd asd a sd
hip pain,symptom asdasdasda d asd as dasd asd asd asd a sd
itching,symptom asdasdasda d asd as dasd asd asd asd a sd
joint pain,symptom asdasdasda d asd as dasd asd asd asd a sd
knee pain,symptom asdasdasda d asd as dasd asd asd asd a sd
leg pain,symptom asdasdasda d asd as dasd asd asd asd a sd
loss of appetite,symptom asdasdasda d asd as dasd asd asd asd a sd
memory loss,symptom asdasdasda d asd as dasd asd asd asd a sd
pelvic pain,symptom asdasdasda d asd as dasd asd asd asd a sd
seizures,symptom asdasdasda d asd as dasd asd asd asd a sd
skin rash,symptom asdasdasda d asd as dasd asd asd asd a sd
sore throat,symptom asdasdasda d asd as dasd asd asd asd a sd
weakness,symptom asdasdasda d asd as dasd asd asd asd a sd
weight loss,symptom asdasdasda d asd as dasd asd asd asd a sd
wrist pain,symptom asdasdasda d asd as dasd asd asd asd a sd
easy bruising,symptom asdasdasda d asd as dasd asd asd asd a sd
decreased appetite,symptom asdasdasda d asd as dasd asd asd asd a sd
vaginal discharge,symptom asdasdasda d asd as dasd asd asd asd a sd
bleeding gums,symptom asdasdasda d asd as dasd asd asd asd a sd
frequent urination,symptom asdasdasda d asd as dasd asd asd asd a sd
muscle cramps,symptom asdasdasda d asd as dasd asd asd asd a sd
dry mouth,symptom asdasdasda d asd as dasd asd asd asd a sd
excessive sweating,symptom asdasdasda d asd as dasd asd asd asd a sd
stiff neck,symptom asdasdasda d asd as dasd asd asd asd a sd
painful intercourse,symptom asdasdasda d asd as dasd asd asd asd a sd
!sweat,symptom asdasdasda d asd as dasd asd asd asd a sd
!catatonia,symptom asdasdasda d asd as dasd asd asd asd a sd
!thicken,symptom asdasdasda d asd as dasd asd asd asd a sd
!unresponsiveness,symptom asdasdasda d asd as dasd asd asd asd a sd
!lesion,symptom asdasdasda d asd as dasd asd asd asd a sd
!emphysematous change,symptom asdasdasda d asd as dasd asd asd asd a sd
!abdominal tenderness,symptom asdasdasda d asd as dasd asd asd asd a sd
!projectile vomiting,symptom asdasdasda d asd as dasd asd asd asd a sd
!mental status changes,symptom asdasdasda d asd as dasd asd asd asd a sd
!malaise,symptom asdasdasda d asd as dasd asd asd asd a sd
!pain abdominal,symptom asdasdasda d asd as dasd asd asd asd a sd
!hyperkalemia,symptom asdasdasda d asd as dasd asd asd asd a sd
!decreased body weight,symptom asdasdasda d asd as dasd asd asd asd a sd
!vertigo,symptom asdasdasda d asd as dasd asd asd asd a sd
!hemodynamically stable,symptom asdasdasda d asd as dasd asd asd asd a sd
!wheelchair bound,symptom asdasdasda d asd as dasd asd asd asd a sd
!pain chest,symptom asdasdasda d asd as dasd asd asd asd a sd
!mood depressed,symptom asdasdasda d asd as dasd asd asd asd a sd
!chill,symptom asdasdasda d asd as dasd asd asd asd a sd
!unsteady gait,symptom asdasdasda d asd as dasd asd asd asd a sd
!chest discomfort,symptom asdasdasda d asd as dasd asd asd asd a sd
!guaiac positive,symptom asdasdasda d asd as dasd asd asd asd a sd
!fall,symptom asdasdasda d asd as dasd asd asd asd a sd
!yellow sputum,symptom asdasdasda d asd as dasd asd asd asd a sd
!pleuritic pain,symptom asdasdasda d asd as dasd asd asd asd a sd
!orthopnea,symptom asdasdasda d asd as dasd asd asd asd a sd
!productive cough,symptom asdasdasda d asd as dasd asd asd asd a sd
!asthenia,symptom asdasdasda d asd as dasd asd asd asd a sd
!feeling hopeless,symptom asdasdasda d asd as dasd asd asd asd a sd
!sore to touch,symptom asdasdasda d asd as dasd asd asd asd a sd
!labored breathing,symptom asdasdasda d asd as dasd asd asd asd a sd
!lethargy,symptom asdasdasda d asd as dasd asd asd asd a sd
!nightmare,symptom asdasdasda d asd as dasd asd asd asd a sd
!rale,symptom asdasdasda d asd as dasd asd asd asd a sd
!chest tightness,symptom asdasdasda d asd as dasd asd asd asd a sd
!tremor,symptom asdasdasda d asd as dasd asd asd asd a sd
!feeling suicidal,symptom asdasdasda d asd as dasd asd asd asd a sd
!redness,symptom asdasdasda d asd as dasd asd asd asd a sd
!abdominal discomfort,symptom asdasdasda d asd as dasd asd asd asd a sd
!acute episodes,symptom asdasdasda d asd as dasd asd asd asd a sd
!bleeding from anus,symptom asdasdasda d asd as dasd asd asd asd a sd
!blood in stool,symptom asdasdasda d asd as dasd asd asd asd a sd
!bowel obstruction,symptom asdasdasda d asd as dasd asd asd asd a sd
!chronic back pain,symptom asdasdasda d asd as dasd asd asd asd a sd
!cough with phlegm,symptom asdasdasda d asd as dasd asd asd asd a sd
!coughing,symptom asdasdasda d asd as dasd asd asd asd a sd
!coughing up blood,symptom asdasdasda d asd as dasd asd asd asd a sd
!cramping,symptom asdasdasda d asd as dasd asd asd asd a sd
!crying,symptom asdasdasda d asd as dasd asd asd asd a sd
!dark stool from digested blood,symptom asdasdasda d asd as dasd asd asd asd a sd
!dehydration,symptom asdasdasda d asd as dasd asd asd asd a sd
!difficulty breathing,symptom asdasdasda d asd as dasd asd asd asd a sd
!difficulty speaking,symptom asdasdasda d asd as dasd asd asd asd a sd
!discomfort,symptom asdasdasda d asd as dasd asd asd asd a sd
!drooping of upper eyelid,symptom asdasdasda d asd as dasd asd asd asd a sd
!dry cough,symptom asdasdasda d asd as dasd asd asd asd a sd
!fainting,symptom asdasdasda d asd as dasd asd asd asd a sd
!falling,symptom asdasdasda d asd as dasd asd asd asd a sd
!fast breathing,symptom asdasdasda d asd as dasd asd asd asd a sd
!fast heart rate,symptom asdasdasda d asd as dasd asd asd asd a sd
!flank pain,symptom asdasdasda d asd as dasd asd asd asd a sd
!fluid in the abdomen,symptom asdasdasda d asd as dasd asd asd asd a sd
!incontinence,symptom asdasdasda d asd as dasd asd asd asd a sd
!low blood pressure,symptom asdasdasda d asd as dasd asd asd asd a sd
!low oxygen in the body,symptom asdasdasda d asd as dasd asd asd asd a sd
!lower abdominal pain,symptom asdasdasda d asd as dasd asd asd asd a sd
!malnutrition,symptom asdasdasda d asd as dasd asd asd asd a sd
!mental confusion,symptom asdasdasda d asd as dasd asd asd asd a sd
!nasal congestion,symptom asdasdasda d asd as dasd asd asd asd a sd
!pain during urination,symptom asdasdasda d asd as dasd asd asd asd a sd
!pain in upper abdomen,symptom asdasdasda d asd as dasd asd asd asd a sd
!phlegm,symptom asdasdasda d asd as dasd asd asd asd a sd
!racing heartbeat,symptom asdasdasda d asd as dasd asd asd asd a sd
!runny nose,symptom asdasdasda d asd as dasd asd asd asd a sd
!sadness,symptom asdasdasda d asd as dasd asd asd asd a sd
!sharp pain,symptom asdasdasda d asd as dasd asd asd asd a sd
!tenderness,symptom asdasdasda d asd as dasd asd asd asd a sd
!vomiting blood,symptom asdasdasda d asd as dasd asd asd asd a sd
!watery diarrhea,symptom asdasdasda d asd as dasd asd asd asd a sd
!yellow skin and eyes,symptom asdasdasda d asd as dasd asd asd asd a sd
!decreased smell,symptom asdasdasda d asd as dasd asd asd asd a sd
!grinding teeth,symptom asdasdasda d asd as dasd asd asd asd a sd
!mouth sores,symptom asdasdasda d asd as dasd asd asd asd a sd
!ankle pain.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!pulsating sensation,symptom asdasdasda d asd as dasd asd asd asd a sd
!inattention,symptom asdasdasda d asd as dasd asd asd asd a sd
!irregular heartbeat,symptom asdasdasda d asd as dasd asd asd asd a sd
!cold feet,symptom asdasdasda d asd as dasd asd asd asd a sd
!self-neglect,symptom asdasdasda d asd as dasd asd asd asd a sd
!rash,symptom asdasdasda d asd as dasd asd asd asd a sd
!lymph node swelling (swollen lymph nodes),symptom asdasdasda d asd as dasd asd asd asd a sd
!intentional vomiting (purging),symptom asdasdasda d asd as dasd asd asd asd a sd
!painful ejaculation,symptom asdasdasda d asd as dasd asd asd asd a sd
!chronic pain,symptom asdasdasda d asd as dasd asd asd asd a sd
!tingling,symptom asdasdasda d asd as dasd asd asd asd a sd
!dark colored urine,symptom asdasdasda d asd as dasd asd asd asd a sd
!muscle pain (myalgia),symptom asdasdasda d asd as dasd asd asd asd a sd
!nail clubbing,symptom asdasdasda d asd as dasd asd asd asd a sd
!aggression.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!apathy,symptom asdasdasda d asd as dasd asd asd asd a sd
!hallucinations,symptom asdasdasda d asd as dasd asd asd asd a sd
!low urine output,symptom asdasdasda d asd as dasd asd asd asd a sd
!chest pain,symptom asdasdasda d asd as dasd asd asd asd a sd
!diogenes syndrome (self-neglect),symptom asdasdasda d asd as dasd asd asd asd a sd
!rectal incontinence (fecal incontinence),symptom asdasdasda d asd as dasd asd asd asd a sd
!blood in urine.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!blunted affect (flat affect),symptom asdasdasda d asd as dasd asd asd asd a sd
!swollen lips,symptom asdasdasda d asd as dasd asd asd asd a sd
!toe pain.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!red spots.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!unusual,symptom asdasdasda d asd as dasd asd asd asd a sd
!thick saliva,symptom asdasdasda d asd as dasd asd asd asd a sd
!dry eyes,symptom asdasdasda d asd as dasd asd asd asd a sd
!dark colored (brown) urine,symptom asdasdasda d asd as dasd asd asd asd a sd
!palpitations,symptom asdasdasda d asd as dasd asd asd asd a sd
!red spots on the skin,symptom asdasdasda d asd as dasd asd asd asd a sd
!inability to regulate emotions,symptom asdasdasda d asd as dasd asd asd asd a sd
